feature,importance
r_flux_skew,0.05218724
g_flux_skew,0.035214312
r_gp_k1__k2__length_scale,0.02680242
i_rise_time,0.017155703
r_rise_time,0.015571302
u_snr_nobs_interaction,0.014846672
u_snr_mean,0.014030049
u_gp_k1__k1__constant_value,0.014014803
g_gp_k1__k2__length_scale,0.01353285
powerlaw_chi2,0.013472995
u_snr_max,0.013396134
i_gp_k1__k2__length_scale,0.013294587
r_gp_smoothness,0.012782112
u_flux_mean,0.01277515
g_snr_mean,0.012580591
r_snr_nobs_interaction,0.011590217
r_flux_mean,0.011579004
r_gp_k2__noise_level,0.01137839
g_flux_max,0.010900338
i_flux_skew,0.01057167
r_fade_time,0.009822977
g_fade_time,0.0097621605
r_flux_range,0.0092001315
i_gp_k2__noise_level,0.008933405
u_peak_flux_time_interaction,0.008752051
blue_excess,0.008691819
z_rise_time,0.008521083
color_i_z,0.007961187
powerlaw_A,0.0079200175
g_snr_nobs_interaction,0.007915577
u_flux_skew,0.007677457
Z,0.0076437243
r_flux_kurtosis,0.007594777
mag_diff_z_y,0.007256353
color_u_g,0.007127846
z_peak_flux,0.0071186908
g_peak_flux,0.007102539
y_rise_time,0.007029305
z_gp_k1__k1__constant_value,0.0068626157
y_time_span,0.0068444265
z_flux_max,0.0068317303
y_flux_max,0.0068246974
u_time_span,0.006751418
z_gp_k2__noise_level,0.0065280483
r_flux_std,0.0064893016
g_gp_k1__k1__constant_value,0.0064746276
z_flux_kurtosis,0.0064467727
z_flux_mean,0.006394184
z_fade_time,0.0063054776
i_gp_smoothness,0.0062503605
i_time_span,0.006214509
r_flux_max,0.006146564
z_snr_nobs_interaction,0.0060835094
dist_z_interaction,0.006043254
z_flux_skew,0.0060424744
u_peak_flux,0.0060211094
r_n_obs,0.006019554
i_flux_mean,0.0060115494
u_gp_smoothness,0.005913354
r_gp_k1__k1__constant_value,0.0059037195
mag_diff_r_i,0.0058790063
powerlaw_t0,0.0057493644
z_snr_mean,0.0057367315
total_n_obs,0.0057093194
y_flux_skew,0.005673739
y_snr_mean,0.00566497
u_flux_max,0.0056424
z_flux_range,0.0056422763
r_snr_max,0.0055827545
z_flux_std,0.0055477032
y_flux_kurtosis,0.0055220216
z_time_span,0.005514785
y_flux_range,0.0055064657
z_gp_smoothness,0.005500869
r_peak_flux_time_interaction,0.0054320777
y_n_obs,0.0054289745
g_time_span,0.0054048435
total_time_span,0.0054041645
i_peak_flux,0.0053624683
u_gp_k1__k2__length_scale,0.00535315
powerlaw_alpha,0.0053364197
i_peak_flux_time_interaction,0.0053083925
z_snr_max,0.0052914256
i_flux_kurtosis,0.0052650445
g_rise_time,0.005257408
mag_diff_i_z,0.0052312985
g_gp_smoothness,0.005210592
total_flux_mean,0.0052005155
g_gp_k2__noise_level,0.0051782476
u_fade_time,0.0051375446
y_gp_smoothness,0.0050940127
distance_modulus,0.00509007
r_snr_mean,0.005020234
y_snr_max,0.0050195246
i_snr_mean,0.0050119353
i_snr_max,0.0049912604
i_gp_k1__k1__constant_value,0.004922384
g_flux_mean,0.0048715407
y_flux_std,0.0048675933
g_flux_std,0.004850802
i_snr_nobs_interaction,0.004827526
g_peak_flux_time_interaction,0.004782756
mag_diff_u_g,0.004769859
i_flux_range,0.004769126
i_fade_time,0.0047545247
r_peak_time,0.004750707
i_n_obs,0.0047065513
y_peak_time,0.004689814
u_flux_std,0.0046645016
i_flux_max,0.004642247
u_peak_time,0.0045995084
color_r_i,0.004544931
r_peak_flux,0.004374478
mag_diff_g_r,0.0043390645
g_flux_range,0.004328291
r_time_span,0.004305362
u_rise_time,0.004274459
y_snr_nobs_interaction,0.0041688518
y_gp_k2__noise_level,0.004112095
i_peak_time,0.004109298
y_flux_mean,0.0040871077
u_flux_kurtosis,0.0040777577
g_flux_kurtosis,0.004013284
z_gp_k1__k2__length_scale,0.0039471537
u_gp_k2__noise_level,0.003929148
g_peak_time,0.00380561
z_peak_time,0.0037104245
z_peak_flux_time_interaction,0.0036887527
y_fade_time,0.0036633331
u_flux_range,0.0035657715
g_snr_max,0.0035307363
g_n_obs,0.0034008313
y_peak_flux_time_interaction,0.0033814919
i_flux_std,0.0033019066
y_gp_k1__k1__constant_value,0.003231929
color_g_r,0.0031592816
color_z_y,0.0030728718
u_n_obs,0.0030275139
y_gp_k1__k2__length_scale,0.0030214568
z_n_obs,0.002798786
y_peak_flux,0.002545658
